FFMC	DMC	DC	ISI	temp	RH	wind	rain	area
8.620E+01	2.620E+01	9.430E+01	5.100E+00	8.200E+00	5.100E+01	6.700E+00	0.000E+00	0.000E+00
9.060E+01	3.540E+01	6.691E+02	6.700E+00	1.800E+01	3.300E+01	9.000E-01	0.000E+00	0.000E+00
9.060E+01	4.370E+01	6.869E+02	6.700E+00	1.460E+01	3.300E+01	1.300E+00	0.000E+00	0.000E+00
9.170E+01	3.330E+01	7.750E+01	9.000E+00	8.300E+00	9.700E+01	4.000E+00	2.000E-01	0.000E+00
8.930E+01	5.130E+01	1.022E+02	9.600E+00	1.140E+01	9.900E+01	1.800E+00	0.000E+00	0.000E+00
9.230E+01	8.530E+01	4.880E+02	1.470E+01	2.220E+01	2.900E+01	5.400E+00	0.000E+00	0.000E+00
9.230E+01	8.890E+01	4.956E+02	8.500E+00	2.410E+01	2.700E+01	3.100E+00	0.000E+00	0.000E+00
9.150E+01	1.454E+02	6.082E+02	1.070E+01	8.000E+00	8.600E+01	2.200E+00	0.000E+00	0.000E+00
9.100E+01	1.295E+02	6.926E+02	7.000E+00	1.310E+01	6.300E+01	5.400E+00	0.000E+00	0.000E+00
9.250E+01	8.800E+01	6.986E+02	7.100E+00	2.280E+01	4.000E+01	4.000E+00	0.000E+00	0.000E+00
9.250E+01	8.800E+01	6.986E+02	7.100E+00	1.780E+01	5.100E+01	7.200E+00	0.000E+00	0.000E+00
9.280E+01	7.320E+01	7.130E+02	2.260E+01	1.930E+01	3.800E+01	4.000E+00	0.000E+00	0.000E+00
9.090E+01	1.265E+02	6.865E+02	7.000E+00	2.130E+01	4.200E+01	2.200E+00	0.000E+00	0.000E+00
9.290E+01	1.333E+02	6.996E+02	9.200E+00	2.640E+01	2.100E+01	4.500E+00	0.000E+00	0.000E+00
9.330E+01	1.412E+02	7.139E+02	1.390E+01	2.290E+01	4.400E+01	5.400E+00	0.000E+00	0.000E+00
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.510E+01	2.700E+01	5.400E+00	0.000E+00	0.000E+00
